Training information

epoch, accuracy, MSE, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0,0.6526833333333333, 0.07950188828403794, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.98
1,0.8157333333333333, 0.041279857587663664, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,1.0,0.99,0.99
2,0.8478, 0.03416336409738229, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,1.0,1.0,0.99
3,0.86525, 0.029604829170010564, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,1.0,1.0,0.99
4,0.8785666666666667, 0.026518216194288676, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99
5,0.8876333333333334, 0.023935631460497268, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99
6,0.8968666666666667, 0.022331199816611153, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99
7,0.9031666666666667, 0.020700385206153294, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
8,0.9068833333333334, 0.019575215997089213, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
9,0.91205, 0.018317061174695424, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
10,0.9174166666666667, 0.017522566996567193, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
11,0.9198, 0.016774634667734847, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
12,0.9241, 0.01575747646835087, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
13,0.92605, 0.015027251122007371, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
14,0.9279833333333334, 0.014635921131450114, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
15,0.9297166666666666, 0.013974770119534612, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.93455, 0.013321041377160874, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.9359, 0.012847597589520551, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.93825, 0.012222260706832303, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.9401, 0.011938262649840239, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.94085, 0.011311196351631548, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.9438833333333333, 0.011041487113694255, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.9440166666666666, 0.010600750791015023, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0.9465666666666667, 0.010150735713391463, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.9489666666666666, 0.009972711894214361, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.9501166666666667, 0.009688916569712276, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,0.9518833333333333, 0.009355360805738783, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.9538, 0.00900748324576094, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,0.9537666666666667, 0.008878779623142577, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.95635, 0.0087503912850036, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
