Training information

epoch, type, accuracy, MSE, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0, train, 0.47477862277320554, 0.10522763875607734, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,1.0,0.99,0.99
0, val, 0.6692211578508954, 0.061101880940929054, 1.0,1.0,0.98,1.0,0.99,0.99,1.0,1.0,0.99,0.99
1, train, 0.7172413793103448, 0.05218144405222254, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,1.0,1.0,0.99
1, val, 0.7602665556018325, 0.04283611757461382, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,1.0,1.0
2, train, 0.771767892488801, 0.03957521194021399, 1.0,1.0,0.99,0.99,0.99,1.0,1.0,1.0,1.0,0.99
2, val, 0.7978342357351104, 0.03735697730905513, 1.0,1.0,0.99,1.0,0.99,0.99,1.0,1.0,0.99,0.99
3, train, 0.8020835503698301, 0.03265877024155947, 1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,0.99
3, val, 0.8135776759683465, 0.03235080515546365, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
4, train, 0.8233774351494947, 0.027721241482310123, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
4, val, 0.8237401082882132, 0.031596990358437264, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
5, train, 0.8370871965829774, 0.024449626597677132, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
5, val, 0.8302374010828821, 0.029506723239446385, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
6, train, 0.8526721533493072, 0.02196743562187193, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
6, val, 0.8607246980424823, 0.027143257761825256, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
7, train, 0.8615272424210856, 0.01968435965592198, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7, val, 0.8553935860058309, 0.026606919338318803, 1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99
8, train, 0.8697781018856131, 0.018005031510606964, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8, val, 0.8626405664306539, 0.025589078342116267, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
9, train, 0.8774247317428899, 0.016382474879852664, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9, val, 0.8665556018325697, 0.025550245362629665, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
10, train, 0.8851547036149598, 0.01501701082760556, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10, val, 0.8708038317367763, 0.024906931664411623, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
11, train, 0.8876757995624545, 0.01384764875475856, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11, val, 0.876051645147855, 0.024709241685521004, 1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.99
12, train, 0.8951140743827481, 0.012731544187860456, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12, val, 0.8790503956684714, 0.023783502868217298, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
13, train, 0.8998854047296594, 0.011876689598856996, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13, val, 0.8764681382757185, 0.02385070771136588, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
14, train, 0.9050526096468382, 0.01105859835589543, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14, val, 0.8796334860474803, 0.023429722673167504, 1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99
