Training information

epoch, type, accuracy, MSE, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0, train, 0.496443390634262, 0.12937794975003644, 1.0,1.0,0.99,0.99,0.99,0.98,1.0,1.0,0.99,0.97
0, val, 0.7018302828618969, 0.0688559246192477, 1.0,1.0,0.97,0.99,0.99,0.99,1.0,0.99,1.0,0.97
1, train, 0.7515930646117368, 0.050485819373801526, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.99
1, val, 0.7913477537437604, 0.04534924264459391, 1.0,1.0,0.98,0.99,0.99,1.0,0.99,1.0,1.0,0.97
2, train, 0.807165085951393, 0.037205077133441074, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,0.99
2, val, 0.8113144758735441, 0.038952916911479944, 1.0,1.0,0.98,1.0,0.99,1.0,1.0,1.0,1.0,0.98
3, train, 0.8413233550681684, 0.030487359328092243, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
3, val, 0.831946755407654, 0.03723206624578139, 1.0,0.99,0.99,0.99,0.99,1.0,1.0,1.0,1.0,0.99
4, train, 0.8604030823947837, 0.025183188324883567, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
4, val, 0.8199667221297837, 0.0391562766677292, 1.0,1.0,0.99,0.99,0.98,1.0,0.99,0.98,1.0,0.99
5, train, 0.8771487848251334, 0.02163037494352187, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
5, val, 0.8435940099833611, 0.03771209286283453, 1.0,1.0,0.98,0.99,0.99,1.0,1.0,0.99,1.0,0.98
6, train, 0.88685536455246, 0.01893806727814024, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
6, val, 0.8472545757071548, 0.03415372675483163, 1.0,1.0,0.99,0.99,0.99,1.0,1.0,0.99,1.0,0.98
7, train, 0.8967471843509188, 0.01656455916153865, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7, val, 0.8579034941763727, 0.03466808787193472, 1.0,1.0,0.99,1.0,0.98,1.0,1.0,0.99,1.0,0.99
8, train, 0.9056016597510373, 0.014433418855763146, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
8, val, 0.8655574043261232, 0.032864316714579594, 1.0,1.0,0.99,0.98,0.99,1.0,1.0,0.99,1.0,0.99
9, train, 0.9136781268524007, 0.012931810157010616, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9, val, 0.8745424292845257, 0.030461106761309805, 1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.98
10, train, 0.9225696502667458, 0.011162010749897495, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10, val, 0.881198003327787, 0.030236390955174837, 1.0,1.0,0.98,0.99,0.99,1.0,1.0,0.99,1.0,0.98
11, train, 0.9294976289270895, 0.010007521779600112, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11, val, 0.8891846921797005, 0.028890069824980585, 1.0,0.99,0.98,1.0,0.99,1.0,1.0,0.99,1.0,0.98
12, train, 0.9347213989330172, 0.009289646975853069, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12, val, 0.880865224625624, 0.030808492213449275, 1.0,1.0,0.99,0.98,1.0,1.0,0.99,0.99,1.0,0.98
13, train, 0.9393894487255483, 0.008380183117835113, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13, val, 0.880865224625624, 0.031112905678029674, 1.0,1.0,0.99,0.99,0.99,1.0,1.0,0.98,1.0,0.99
14, train, 0.9457246591582691, 0.007608117147264471, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14, val, 0.8945091514143095, 0.03004510239747533, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
15, train, 0.9492071724955542, 0.006949276321817669, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15, val, 0.8951747088186356, 0.029849285097336736, 1.0,1.0,0.99,0.99,0.99,1.0,1.0,0.99,1.0,0.98
16, train, 0.9522451096621221, 0.006466363613824916, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16, val, 0.897171381031614, 0.0287715977465993, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
17, train, 0.9593583283935981, 0.005873214656479872, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17, val, 0.8965058236272878, 0.02877091146926533, 1.0,1.0,0.99,1.0,0.99,1.0,1.0,0.99,1.0,0.98
18, train, 0.9621739774748074, 0.005398267125910182, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18, val, 0.8948419301164725, 0.029443270188938227, 1.0,0.99,0.98,1.0,0.99,1.0,1.0,1.0,1.0,0.98
19, train, 0.9648784825133373, 0.005082048896663284, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19, val, 0.8965058236272878, 0.029917480360206868, 1.0,1.0,0.99,0.99,0.99,1.0,1.0,0.99,1.0,0.98
20, train, 0.9715100770598696, 0.004730948909300941, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20, val, 0.8905158069883528, 0.029750343330331126, 1.0,1.0,0.99,1.0,0.99,1.0,0.99,0.99,1.0,0.98
21, train, 0.9732513337285121, 0.004506210667035347, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21, val, 0.9001663893510815, 0.029324789184267504, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
22, train, 0.9774007113218731, 0.004379938735769702, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22, val, 0.9011647254575708, 0.029311587182032736, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
23, train, 0.9796976882039122, 0.004255297055661555, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23, val, 0.9011647254575708, 0.028874963735282103, 1.0,1.0,0.99,0.99,1.0,1.0,0.99,0.99,1.0,0.98
24, train, 0.9803275044457617, 0.004164778509119416, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24, val, 0.907820299500832, 0.029272911158362416, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
25, train, 0.981290752815649, 0.004084290266004715, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25, val, 0.9048252911813643, 0.02945504255450805, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
26, train, 0.9815871369294605, 0.004002823942824917, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26, val, 0.9091514143094842, 0.028782612822567576, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
27, train, 0.9845139300533492, 0.0038791740239224617, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27, val, 0.9051580698835274, 0.029235469764838116, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
28, train, 0.9866627148784826, 0.003800475990407191, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28, val, 0.9061564059900167, 0.029274213487222298, 1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
29, train, 0.9850696502667458, 0.003793893431758986, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29, val, 0.9058236272878536, 0.02962601889811942, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
30, train, 0.9868850029638412, 0.0036855748583735156, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30, val, 0.907820299500832, 0.029355110730790845, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
31, train, 0.9871813870776527, 0.0036342416802024927, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31, val, 0.9071547420965058, 0.029792229661644486, 1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
32, train, 0.9875148192056906, 0.003573196173120591, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32, val, 0.9044925124792014, 0.029636015611976745, 1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
33, train, 0.9877371072910492, 0.003517079402852457, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33, val, 0.9051580698835274, 0.029641158921860238, 1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
34, train, 0.9891449318316539, 0.0034513395173104747, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34, val, 0.9054908485856905, 0.029726277020826954, 1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
35, train, 0.9893672199170125, 0.003412071426765712, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35, val, 0.907820299500832, 0.029764989197551765, 1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.98
