epoch, type, accuracy, MSE, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0, train, 0.6030836545473487, 0.09930555118300283, 1.0,1.0,0.98,0.98,0.99,0.99,1.0,0.99,0.99,0.98
0, val, 0.7825072886297376, 0.04733157135641766, 1.0,1.0,0.99,0.98,0.99,1.0,1.0,1.0,0.99,0.99
1, train, 0.8041879362433587, 0.040225848366938884, 1.0,1.0,0.99,0.99,0.99,1.0,1.0,1.0,0.99,0.99
1, val, 0.8274052478134111, 0.038652418264300506, 1.0,1.0,0.99,0.99,0.99,0.98,1.0,0.99,0.99,0.99
2, train, 0.8459006146473591, 0.030409173749350208, 1.0,1.0,1.0,0.99,0.99,0.99,1.0,0.99,1.0,0.99
2, val, 0.8563931695127031, 0.03191170760029785, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,0.99,0.99
3, train, 0.8688405042191895, 0.025084986119191237, 1.0,1.0,1.0,0.99,0.99,0.99,1.0,1.0,1.0,0.99
3, val, 0.8638900458142441, 0.029267673502978993, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.99,0.99,0.99
4, train, 0.883300343785811, 0.02162982743382571, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
4, val, 0.8668054977092878, 0.028422696866843643, 1.0,1.0,1.0,0.99,0.99,0.99,1.0,0.99,0.99,1.0
5, train, 0.8958016460047922, 0.019220545231782824, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
5, val, 0.87838400666389, 0.028372652341352018, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.99
6, train, 0.9055734972392958, 0.016915282510062354, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
6, val, 0.8941274468971262, 0.025310950292153116, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.99
7, train, 0.9123658714449422, 0.015275566018132531, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
7, val, 0.8915451895043732, 0.024444318330137584, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99
8, train, 0.920429211376185, 0.013466542293126047, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
8, val, 0.9042898792169929, 0.023094249127006056, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,1.0,0.99
9, train, 0.9272215855818314, 0.0122688383730148, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9, val, 0.9033735943356934, 0.023500972001339947, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99
10, train, 0.9312845088030003, 0.011458071219807141, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10, val, 0.9055393586005831, 0.023683890833016058, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,1.0,1.0,0.99
11, train, 0.9361391811647046, 0.010282623420209625, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11, val, 0.9057059558517284, 0.023471175169847796, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.99
12, train, 0.9414313991040734, 0.009237171111224709, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12, val, 0.9125364431486881, 0.0228368172547488, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,1.0,0.99
13, train, 0.9452442962808626, 0.008714987671665139, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13, val, 0.9103706788837984, 0.02327324569630612, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.99
14, train, 0.9496405875612043, 0.007956191186530712, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14, val, 0.9152852977925864, 0.022494219969827763, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99
15, train, 0.9513282633607667, 0.007620068540038973, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15, val, 0.9125364431486881, 0.021893816836970375, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99
16, train, 0.9539118658193562, 0.00707538145776405, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16, val, 0.9158683881715952, 0.02306811197680929, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,1.0,0.99
17, train, 0.9577247629961454, 0.006531523481024283, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17, val, 0.9178675551853395, 0.021942771533350735, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,1.0,0.99
18, train, 0.9617251797062194, 0.006074873743914125, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18, val, 0.9159516867971679, 0.02180957698460681, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,1.0,1.0,0.99
19, train, 0.9641004271278258, 0.005603257760409427, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19, val, 0.9161182840483132, 0.022127863701143398, 1.0,1.0,1.0,0.99,0.99,0.99,1.0,1.0,1.0,0.99
20, train, 0.9678299822898219, 0.005231979455526972, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20, val, 0.917201166180758, 0.02321014679185192, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,1.0,0.99
21, train, 0.9689550994895302, 0.005087622203447342, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21, val, 0.9190337359433569, 0.022090298159150534, 1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99
22, train, 0.972538806125638, 0.004763342407997304, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22, val, 0.9182840483132029, 0.022364276914133136, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,1.0,1.0,0.99
23, train, 0.9749765600583394, 0.004546081655252324, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23, val, 0.9206997084548105, 0.0219909390411391, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,1.0,0.99
24, train, 0.97681008438379, 0.004299039159659095, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24, val, 0.9217825905872553, 0.021670539691713616, 1.0,1.0,0.99,0.99,1.0,0.99,0.99,1.0,1.0,0.99
25, train, 0.9796853838941556, 0.004198961868736746, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25, val, 0.9228654727197001, 0.021318520373582076, 1.0,1.0,0.99,0.99,1.0,0.99,0.99,0.99,1.0,0.99
26, train, 0.9807896655901657, 0.004095668602371048, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26, val, 0.9230320699708455, 0.021366319896455425, 1.0,1.0,0.99,0.99,1.0,0.99,0.99,0.99,1.0,0.99
27, train, 0.9813522241900198, 0.003960690780616691, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27, val, 0.9231153685964182, 0.02234764987117917, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,0.99,0.99
28, train, 0.9842066881966871, 0.003868022466378174, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28, val, 0.9219491878384006, 0.021770266330647995, 1.0,1.0,0.99,0.99,1.0,0.99,0.99,0.99,1.0,0.99
29, train, 0.9837691426190228, 0.0037932898662982792, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29, val, 0.924198250728863, 0.021642272754912678, 1.0,1.0,0.99,0.99,1.0,0.99,0.99,0.99,1.0,0.99
