Training information

epoch, type, accuracy, MSE, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0, train, 0.5878112303364934, 0.09012365560654809, 1.0,1.0,0.98,0.98,0.99,0.98,1.0,0.99,0.99,0.98
0, val, 0.741024573094544, 0.05881129885161393, 1.0,1.0,0.99,0.98,0.99,0.99,0.99,1.0,0.99,0.97
1, train, 0.7553286800708408, 0.05425349092839921, 1.0,1.0,0.98,0.98,0.99,0.98,1.0,0.99,0.99,0.98
1, val, 0.7804248229904207, 0.05442041291411526, 1.0,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.98
2, train, 0.7926033961871028, 0.04812588062704063, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.98
2, val, 0.7830903790087463, 0.05204147791290962, 1.0,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.98,0.98
3, train, 0.8115428690488593, 0.04475274911914182, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
3, val, 0.8211578508954602, 0.04966598471862849, 1.0,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.96
4, train, 0.8244608813418064, 0.04220794275568545, 1.0,1.0,0.99,0.98,0.99,0.98,1.0,0.99,0.99,0.99
4, val, 0.8234069137859226, 0.05017772820157974, 1.0,0.99,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.97
5, train, 0.8319199916657986, 0.04030334740429929, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,1.0,0.99
5, val, 0.8101624323198667, 0.0510661983454411, 1.0,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.98,0.96
6, train, 0.840650067715387, 0.03895748902089465, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
6, val, 0.8036651395251978, 0.05432160420340185, 0.99,0.98,1.0,0.95,0.99,0.98,0.99,0.98,0.98,0.97
7, train, 0.8474007709136369, 0.03779181090499105, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
7, val, 0.8371511870054145, 0.04737866590624851, 1.0,1.0,0.99,0.97,0.97,0.98,0.99,0.99,0.98,0.98
8, train, 0.852797166371497, 0.03648716927227216, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
8, val, 0.8473136193252812, 0.04666562181117837, 1.0,1.0,0.99,0.98,0.98,0.97,0.99,0.99,0.98,0.97
9, train, 0.8595270340660486, 0.03570568000143232, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.98
9, val, 0.8549770928779675, 0.04463562136009195, 1.0,1.0,1.0,0.97,0.98,0.99,0.99,0.99,0.98,0.97
10, train, 0.8624440045838108, 0.03456098933997801, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
10, val, 0.8503123698458975, 0.045699098676523865, 0.99,0.99,0.99,0.96,0.99,0.99,0.99,0.99,0.99,0.97
11, train, 0.8619231169913533, 0.03362787177350497, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
11, val, 0.8609745939192003, 0.04473088415807113, 1.0,1.0,0.99,0.97,0.99,0.98,0.99,0.99,0.99,0.97
12, train, 0.8711115741223044, 0.0327474560245767, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
12, val, 0.8578925447730112, 0.04643538628331982, 0.99,0.99,0.99,0.97,0.98,0.97,0.99,0.99,0.99,0.97
13, train, 0.8717783102406501, 0.03236582168902585, 1.0,1.0,0.99,0.98,1.0,0.99,1.0,0.99,0.99,0.99
13, val, 0.8607246980424823, 0.045195871256358974, 0.99,0.99,0.99,0.96,0.98,0.99,0.98,0.99,0.99,0.97
14, train, 0.8735909990624023, 0.03199182733872297, 1.0,1.0,0.99,0.98,1.0,0.99,1.0,0.99,0.99,0.99
14, val, 0.8537276134943773, 0.04723394771861157, 1.0,1.0,0.99,0.98,0.98,0.97,0.99,0.99,0.99,0.96
15, train, 0.87619543702469, 0.03142006093672945, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
15, val, 0.8581424406497293, 0.04444030138330782, 1.0,0.99,0.99,0.98,0.99,0.97,0.99,0.99,0.99,0.97
16, train, 0.8806333993124283, 0.03125694547563501, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
16, val, 0.8658892128279884, 0.04704005738873964, 0.99,0.99,0.99,0.97,0.98,0.98,0.99,0.99,0.99,0.98
17, train, 0.8798833211792895, 0.030353292202959434, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,0.99,0.99
17, val, 0.8588088296543107, 0.0469561141012907, 1.0,0.99,0.99,0.96,0.98,0.98,0.99,0.98,0.99,0.98
18, train, 0.8839670799041567, 0.0294002425894609, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,1.0,0.99
18, val, 0.8557267805081216, 0.04683193520506026, 0.99,1.0,0.99,0.97,0.99,0.98,0.98,0.99,0.99,0.97
19, train, 0.8856547557037191, 0.029516199639450187, 1.0,1.0,0.99,0.98,1.0,0.99,1.0,0.99,0.99,0.99
19, val, 0.8592253227821741, 0.04772510357360436, 1.0,1.0,0.99,0.97,0.98,0.97,0.98,0.99,0.98,0.97
20, train, 0.8882591936660069, 0.02925653680775174, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,1.0,0.99
20, val, 0.861057892544773, 0.04654841789948107, 0.99,1.0,0.99,0.97,0.98,0.98,0.99,0.99,0.98,0.96
21, train, 0.8904260860506302, 0.028400391690504446, 1.0,1.0,0.99,0.98,1.0,0.99,1.0,1.0,0.99,0.99
21, val, 0.8666389004581424, 0.04565707674747789, 0.99,1.0,0.98,0.97,0.99,0.98,0.98,0.99,0.99,0.97
22, train, 0.892405458901969, 0.027902592692442663, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
22, val, 0.8777176176593087, 0.0448919253789504, 0.99,0.99,0.99,0.96,0.98,0.98,0.99,0.99,0.98,0.98
23, train, 0.8935514116053755, 0.02792457946275853, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,0.99,0.99
23, val, 0.8623073719283632, 0.047719153237403986, 0.99,1.0,0.99,0.97,0.97,0.98,0.99,0.98,0.98,0.98
24, train, 0.8932597145535993, 0.027505930070177518, 1.0,1.0,0.99,0.98,1.0,0.99,1.0,0.99,0.99,0.99
24, val, 0.8763015410245731, 0.04421498908536936, 1.0,0.99,0.99,0.97,0.98,0.98,0.99,0.99,0.98,0.97
25, train, 0.8955724554641108, 0.027335904428278598, 1.0,1.0,0.99,0.98,1.0,0.99,1.0,0.99,0.99,0.99
25, val, 0.865472719700125, 0.04591475464187792, 0.99,0.99,0.99,0.96,0.98,0.98,0.99,0.99,0.98,0.97
26, train, 0.8973643087821648, 0.02682968550497421, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,1.0,0.99,0.99
26, val, 0.8764681382757185, 0.04410732721836265, 1.0,0.99,0.99,0.97,0.98,0.98,0.99,0.99,0.99,0.97
27, train, 0.8981768934263986, 0.026489865744860844, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,1.0,0.99,0.99
27, val, 0.8705539358600584, 0.04630204195828216, 0.99,1.0,0.99,0.98,0.98,0.97,0.99,0.99,0.99,0.97
28, train, 0.9013022189811438, 0.026186550845795593, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,0.99,0.99
28, val, 0.8743856726364015, 0.046058594109984856, 0.99,0.99,0.99,0.96,0.98,0.97,0.99,0.99,0.99,0.97
29, train, 0.9026565267215335, 0.02608107379434881, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,1.0,0.99,0.99
29, val, 0.8738858808829655, 0.04579411134224183, 1.0,0.99,0.99,0.97,0.98,0.98,0.98,0.99,0.98,0.97
30, train, 0.9018856130846963, 0.025705281126509247, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.99
30, val, 0.8720533111203665, 0.04583789192928376, 1.0,0.99,0.99,0.97,0.97,0.96,0.99,0.98,0.98,0.98
31, train, 0.9048025836024586, 0.02533777295261684, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.99
31, val, 0.8779675135360266, 0.04477595936536915, 0.99,0.99,0.99,0.97,0.98,0.97,0.99,0.98,0.99,0.97
32, train, 0.90503177414314, 0.025097894872511753, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.99
32, val, 0.8774677217825906, 0.04580350193376772, 0.99,0.99,0.99,0.97,0.99,0.98,0.99,0.99,0.98,0.96
33, train, 0.9059485363058652, 0.025005042036295392, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,0.99,0.99
33, val, 0.8758850478967097, 0.04714799341832912, 1.0,0.99,0.99,0.97,0.97,0.98,0.99,0.99,0.98,0.97
34, train, 0.9057818522762788, 0.02447931456016468, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,1.0,0.99,0.99
34, val, 0.8791336942940442, 0.04539475255001727, 0.99,1.0,0.99,0.96,0.98,0.98,0.99,0.99,0.99,0.97
35, train, 0.9073445150536514, 0.02503885441515764, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,1.0,0.99,0.99
35, val, 0.8703873386089129, 0.04662506714481411, 1.0,0.99,0.99,0.96,0.97,0.98,0.99,0.99,0.99,0.97
36, train, 0.908698822794041, 0.024515381035632215, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,0.99,0.99
36, val, 0.8799666805497709, 0.045021471157295725, 1.0,0.99,0.99,0.97,0.98,0.98,0.99,0.99,0.99,0.97
37, train, 0.9097614334826545, 0.024028054161212568, 1.0,1.0,0.99,0.99,1.0,0.99,1.0,0.99,0.99,0.99
37, val, 0.8779675135360266, 0.04778178900870707, 1.0,0.99,0.99,0.96,0.97,0.97,0.99,0.98,0.99,0.97
38, train, 0.9104698406083968, 0.023978461033178584, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.99
38, val, 0.8837151187005414, 0.045040274536495443, 0.99,0.99,0.99,0.96,0.98,0.98,0.99,0.98,0.98,0.97
39, train, 0.912699239504115, 0.02354674800698175, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.99
39, val, 0.8845481049562682, 0.045412057291382264, 0.99,1.0,0.99,0.97,0.98,0.98,0.99,0.99,0.98,0.97
40, train, 0.9111365767267424, 0.023547013337534443, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.99
40, val, 0.8766347355268638, 0.04695237728937321, 0.99,1.0,0.99,0.96,0.98,0.98,0.99,0.99,0.98,0.98
Test information

accuracy, mse, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0.8792, 0.04527254211976916, 0.99,1.0,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
