Training information

epoch, accuracy, MSE, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0,0.6246333333333334, 0.08267330268732957, 1.0,1.0,0.98,0.98,0.99,0.98,1.0,0.99,0.99,0.97
1,0.7803666666666667, 0.05061869087305826, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.98
2,0.81225, 0.045461095857994335, 1.0,0.99,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.98
3,0.8271, 0.04253989582772673, 1.0,1.0,0.99,0.98,0.98,0.99,1.0,0.99,0.99,0.98
4,0.8388333333333333, 0.03988649192025506, 1.0,0.99,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.98
5,0.84905, 0.03858613089356162, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.98
6,0.8551666666666666, 0.0368131800564126, 1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98
7,0.8626833333333334, 0.03590387751809172, 1.0,0.99,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.98
8,0.8648833333333333, 0.035604027987579306, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.98
9,0.8704666666666667, 0.03462515473660151, 1.0,0.99,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.98
10,0.8714, 0.03364381509466551, 1.0,1.0,0.99,0.99,0.98,0.99,1.0,0.99,0.99,0.98
11,0.8756166666666667, 0.03338592572290164, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.98
12,0.8781666666666667, 0.03290894946118902, 1.0,0.99,0.99,0.99,0.98,0.99,1.0,0.99,0.99,0.98
13,0.8803, 0.032259940052172434, 1.0,0.99,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.98
14,0.8829666666666667, 0.03143481895881274, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.98
15,0.8838666666666667, 0.03140858688715937, 1.0,1.0,0.99,0.98,0.98,0.99,1.0,0.99,0.99,0.99
